id,price,property_type,subproperty_type,region,province,locality,zip_code,latitude,longitude,construction_year,total_area_sqm,surface_land_sqm,nbr_frontages,nbr_bedrooms,equipped_kitchen,fl_furnished,fl_open_fire,fl_terrace,terrace_sqm,fl_garden,garden_sqm,fl_swimming_pool,fl_floodzone,state_building,primary_energy_consumption_sqm,epc,heating_type,fl_double_glazing,cadastral_income
16031000,155000,APARTMENT,APARTMENT,Wallonia,Hainaut,Thuin,6150,,,2013,89,,2,2,INSTALLED,0,0,1,2,0,0,0,1,AS_NEW,600,G,ELECTRIC,1,824
24233000,399000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2627,51.1174969,4.3339147,,125,0,4,3,HYPER_EQUIPPED,0,0,1,21,0,0,0,1,AS_NEW,,MISSING,MISSING,1,
66993000,179000,APARTMENT,APARTMENT,Flanders,East Flanders,Aalst,9500,,,,63,,2,1,USA_INSTALLED,0,0,0,0,0,0,0,1,GOOD,227,C,GAS,1,
64565000,449000,HOUSE,VILLA,Wallonia,Walloon Brabant,Nivelles,1420,50.6865628,4.3877355,1960,153,1047,4,4,MISSING,0,0,1,,0,0,0,0,MISSING,598,G,FUELOIL,0,2476
1321000,249999,HOUSE,HOUSE,Wallonia,Hainaut,Charleroi,6141,,,1940,297,530,3,4,USA_HYPER_EQUIPPED,0,0,1,60,1,320,1,1,GOOD,331,D,GAS,1,
69972000,396140,APARTMENT,APARTMENT,Flanders,West Flanders,Kortrijk,8570,50.8356859,3.404499,,,,,2,MISSING,0,0,0,0,0,0,0,1,MISSING,,MISSING,MISSING,0,
24896000,222000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5030,50.5619089,4.6922689,1999,85,,1,2,INSTALLED,0,0,1,2,0,0,0,0,GOOD,91,B,GAS,1,1205
31582000,525000,HOUSE,HOUSE,Wallonia,Walloon Brabant,Nivelles,1430,,,1976,200,2500,4,5,INSTALLED,0,1,1,32,1,2500,0,1,JUST_RENOVATED,451,F,FUELOIL,1,1616
715000,245000,APARTMENT,APARTMENT,Flanders,Antwerp,Antwerp,2050,51.2209858,4.378666,1970,88,,2,2,USA_HYPER_EQUIPPED,0,0,1,,0,0,0,0,AS_NEW,123,B,GAS,1,798
70722000,355500,APARTMENT,PENTHOUSE,Wallonia,Hainaut,Soignies,7090,,,,130,,3,3,INSTALLED,0,1,1,54,0,0,0,1,MISSING,11,A+,GAS,1,
16176000,174420,APARTMENT,APARTMENT,Wallonia,Hainaut,Ath,7800,50.6281287,3.7818105,2023,60,,,1,INSTALLED,0,1,1,5,0,0,0,1,MISSING,,MISSING,GAS,1,
50771000,174000,HOUSE,HOUSE,Flanders,Limburg,Hasselt,3800,50.8188641,5.1927474,1899,176,300,2,3,SEMI_EQUIPPED,0,1,0,0,0,0,0,1,TO_RENOVATE,399,D,GAS,1,552
61407000,280000,HOUSE,HOUSE,Wallonia,Luxembourg,Neufchâteau,6850,49.8697596,5.1207259,1850,147,879,3,3,SEMI_EQUIPPED,0,0,0,0,1,700,0,0,AS_NEW,281,D,PELLET,1,493
49222000,275000,APARTMENT,APARTMENT,Wallonia,Walloon Brabant,Nivelles,1450,50.6003822,4.6452296,2013,76,,4,2,INSTALLED,0,1,1,5,0,0,0,1,GOOD,80,A,GAS,1,980
5781000,239000,APARTMENT,APARTMENT,Wallonia,Luxembourg,Arlon,6790,49.5556141,5.7882233,2004,85,,,2,INSTALLED,0,0,1,5,0,0,0,0,TO_BE_DONE_UP,105,B,FUELOIL,1,
67017000,525000,HOUSE,HOUSE,Flanders,Antwerp,Antwerp,2110,51.2278711,4.5209856,1950,,95,2,9,INSTALLED,1,0,1,18,0,0,0,0,JUST_RENOVATED,385,D,GAS,1,
74770000,440000,APARTMENT,PENTHOUSE,Flanders,East Flanders,Gent,9051,51.0227597,3.6925224,1993,200,,,3,MISSING,0,0,1,,0,0,0,0,GOOD,285,C,MISSING,1,1608
38707000,495000,HOUSE,COUNTRY_COTTAGE,Wallonia,Walloon Brabant,Nivelles,1440,,,1890,190,445,3,3,USA_HYPER_EQUIPPED,0,0,1,50,1,200,0,1,AS_NEW,478,F,FUELOIL,1,788
74403000,219000,APARTMENT,GROUND_FLOOR,Wallonia,Liège,Liège,4000,50.6278219,5.5648347,2007,80,,1,2,MISSING,0,0,0,0,1,130,0,1,AS_NEW,130,B,GAS,1,
61438000,350000,HOUSE,HOUSE,Flanders,West Flanders,Brugge,8020,51.1323039,3.260333,1850,169,1255,3,4,INSTALLED,0,0,0,0,0,0,0,1,TO_RENOVATE,786,F,ELECTRIC,1,317
73826000,302000,APARTMENT,APARTMENT,Wallonia,Namur,Namur,5000,50.4449137,4.8741478,,93,,,2,USA_HYPER_EQUIPPED,0,0,1,28,0,0,0,1,AS_NEW,,MISSING,GAS,1,
42135000,279000,APARTMENT,GROUND_FLOOR,Flanders,Antwerp,Turnhout,2460,51.2447259,4.9029542,2017,78,,4,2,SEMI_EQUIPPED,0,1,1,,1,,0,0,GOOD,135,B,GAS,1,
31430000,530000,HOUSE,EXCEPTIONAL_PROPERTY,Flanders,West Flanders,Brugge,8000,51.2199446,3.2342603,,775,0,,8,MISSING,0,0,0,0,0,0,0,1,MISSING,,MISSING,MISSING,0,
63274000,2195000,HOUSE,VILLA,Flanders,West Flanders,Brugge,8300,51.3398653,3.2967293,2000,210,344,3,5,HYPER_EQUIPPED,0,0,1,,1,250,0,0,AS_NEW,221,C,GAS,1,